"","WARD_Name","injunctions_n"
"568","Bexhill St Stephens",1
"569","Bexleyheath",2
"570","Bicester East",1
"571","Bicester North and Caversfield",1
"572","Bicester South and Ambrosden",1
"573","Bicester West",1
"574","Bickenhill",2
"575","Bickington",1
"576","Bickleigh & Cornwood",1
"577","Bickley & Sundridge",1
"578","Bicknacre and East and West Hanningfield",1
"579","Bicton Heath",1
"580","Biddenden",1
"581","Biddenham",1
"582","Biddick and All Saints",1
"583","Biddulph East",1
"584","Biddulph Moor",1
"585","Biddulph North",1
"586","Biddulph South",1
"587","Biddulph West",1
"588","Bideford East",1
"589","Bideford North",1
"590","Bideford South",1
"591","Bideford West",1
"592","Bidford East",1
"593","Bidford West",1
"594","Bidston and St James",1
"595","Bierton, Kingsbrook & Wing",1
"596","Biggin Hill",1
"597","Biggleswade East",1
"598","Biggleswade West",1
"599","Bigyn",1
"600","Bilborough",1
"601","Bilbrook",1
"602","Billericay East",1
"603","Billericay West",1
"604","Billesdon & Tilton",1
"605","Billesley",1
"606","Billing",1
"607","Billinge & Beardwood",1
"608","Billinge & Seneley Green",1
"609","Billingham Central",1
"610","Billingham East",1
"611","Billingham North",1
"612","Billingham South",3
"613","Billingham West & Wolviston",1
"614","Billinghay Rural",1
"615","Billingsgate",1
"616","Billingshurst",1
"617","Billington & Langho",1
"618","Bilsthorpe",1
"619","Bilston North",1
"620","Bilston South",1
"621","Bilton",1
"622","Bilton & Nidd Gorge",1
"623","Bilton Grange & New Park",1
"624","Binbrook",1
"625","Binfield North & Warfield West",1
"626","Binfield South & Jennett's Park",1
"627","Bingham North",1
"628","Bingham South",1
"629","Bingley",1
"630","Bingley Rural",1
"631","Binley and Willenhall",1
"632","Binstead & Fishbourne",1
"633","Binsted, Bentley & Selborne",1
"634","Birch",1
"635","Bircham with Rudhams",1
"636","Bircher",1
"637","Birches Head & Northwood",1
"638","Birchfield",1
"639","Birchills Leamore",1
"640","Birchington North",1
"641","Birchington South",1
"642","Bircholt",1
"643","Birchwood",2
"644","Birkdale",1
"645","Birkenhead and Tranmere",1
"646","Birley",1
"647","Birling, Leybourne & Ryarsh",1
"648","Birstall East & Wanlip",1
"649","Birstall West",1
"650","Birstall and Birkenshaw",1
"651","Birtley",1
"652","Biscot",1
"653","Bisham & Cookham",1
"654","Bishop Auckland",1
"655","Bishop's Castle",1
"656","Bishop's Hull & Taunton West",1
"657","Bishop's Itchington, Fenny Compton & Napton",1
"658","Bishop's Nympton",1
"659","Bishop's Stortford All Saints",1
"660","Bishop's Stortford Central",1
"661","Bishop's Stortford North",1
"662","Bishop's Stortford Parsonage",1
"663","Bishop's Stortford South",1
"664","Bishop's Stortford Thorley Manor",1
"665","Bishop's Tachbrook",1
"666","Bishop's Waltham",1
"667","Bishops Frome & Cradley",1
"668","Bishopsgarth & Elm Tree",1
"669","Bishopsgate",1
"670","Bishopsteignton",1
"671","Bishopstoke",1
"672","Bishopston",1
"673","Bishopston and Ashley Down",1
"674","Bishopsworth",1
"675","Bishopthorpe",1
"676","Bishton and Langstone",1
"677","Bisley",1
"678","Bisley & West End",1
"679","Bispham",1
"680","Bitterne Park",1
"681","Bitton & Oldland Common",1
"682","Bixley",1
"683","Blaby",1
"684","Blackawton & Stoke Fleming",1
"685","Blackbird Leys",1
"686","Blackbrook",1
"687","Blackburn Central",1
"688","Blackburn South & Lower Darwen",1
"689","Blackburn South East",1
"690","Blackdown & Neroche",1
"691","Blackfen & Lamorbey",1
"692","Blackfordby",1
"693","Blackfriars & Trinity",1
"694","Blackhalls & Hesledens",1
"695","Blackheath",1
"696","Blackheath Westcombe",1
"697","Blackmill",1
"698","Blackmoor Vale",1
"699","Blackmore & Doddinghurst",1
"700","Blackmore Vale",1
"701","Blackthorn & Rectory Farm",1
"702","Blackwall & Cubitt Town",3
"703","Blackwater",1
"704","Blackwater and Hawley",1
"705","Blackwell",1
"706","Blackwood",1
"707","Blacon",1
"708","Blaenavon",1
"709","Blaengwrach and Glynneath West",1
"710","Blagdon & Churchill",1
"711","Blagreaves",1
"712","Blaina",1
"713","Blakebrook & Habberley South",1
"714","Blakelaw",1
"715","Blakenall",1
"716","Blakenhall",1
"717","Blakenham",1
"718","Blandford",1
"719","Blaydon",1
"720","Blean Forest",1
"721","Blendon & Penhill",2
"722","Blenheim Park",1
"723","Bletchingley & Nutfield",1
"724","Bletchley East",1
"725","Bletchley Park",1
"726","Bletchley West",1
"727","Blewbury & Harwell",1
"728","Blockley",1
"729","Blofield with South Walsham",1
"730","Bloomfield",1
"731","Bloomsbury",4
"732","Bloxwich East",1
"733","Bloxwich West",1
"734","Bluehouse",1
"735","Blundellsands",1
"736","Blunsdon and Highworth",1
"737","Blurton",1
"738","Blyth",1
"739","Blythe",1
"740","Bobbing, Iwade and Lower Halstow",1
"741","Bobblestock",1
"742","Bockhanger",1
"743","Bocking Blackwater",1
"744","Bocking North",1
"745","Bocking South",1
"746","Bodelwyddan",1
"747","Bodmin St Mary's & St Leonard",1
"748","Bodmin St Petroc's",1
"749","Bodowyr",1
"750","Bold & Lea Green",1
"751","Boldon Colliery",1
"752","Bolehall",1
"753","Boley Park",1
"754","Boleyn",1
"755","Bollington",1
"756","Bolsover East",1
"757","Bolsover North & Shuttlewood",1
"758","Bolsover South",1
"759","Bolton & Slyne",1
"760","Bolton and Undercliffe",1
"761","Boncath and Clydau",1
"762","Boney Hay & Central",1
"763","Bonsall & Winster",1
"764","Booker & Cressex",1
"765","Bookham East & Eastwick Park",1
"766","Bookham West",1
"767","Boothen",1
"768","Boothferry",1
"769","Boothstown & Ellenbrook",1
"770","Borden and Grove Park",1
"771","Bordesley & Highgate",1
"772","Bordesley Green",1
"773","Boreham and The Leighs",1
"774","Borehamwood Brookmeadow",1
"775","Borehamwood Cowley Hill",1
"776","Borehamwood Hillside",2
"777","Borehamwood Kenilworth",3
"778","Borough & Bankside",5
"779","Borough Green & Platt",1
"780","Boroughbridge & Claro",1
"781","Borras Park",1
"782","Borth",1
"783","Boscombe East & Pokesdown",1
"784","Boscombe West",1
"785","Boston Castle",1
"786","Bosworth",1
"787","Botcherby",1
"788","Bothal",1
"789","Bothel and Wharrels",1
"790","Botley",1
"791","Botley & Sunningwell",1
"792","Bottesford",1
"793","Bottisham",1
"794","Boughton",1
"795","Boughton Monchelsea & Chart Sutton",1
"796","Boughton and Courtenay",2
"797","Boulsworth & Foulridge",1
"798","Boultham",1
"799","Bounds Green",1
"800","Bournbrook & Selly Park",1
"801","Bourne",1
"802","Bourne Austerby",1
"803","Bourne East",1
"804","Bourne Vale",1
"805","Bourne Valley",1
"806","Bourne West",1
"807","Bournemouth Central",1
"808","Bournville & Cotteridge",1
"809","Bourton Vale",1
"810","Bourton Village",1
"811","Bovey",1
"812","Bovingdon, Flaunden and Chipperfield",1
"813","Bow East",2
"814","Bow West",1
"815","Bowbrook",1
"816","Bowburn & Coxhoe",1
"817","Bowdon",1
"818","Bowerham",1
"819","Bowerhill",1
"820","Bowes",2
"821","Bowland",1
"822","Bowling and Barkerend",1
"823","Bowness and Lyth",1
"824","Bowthorpe",1
"825","Bowydd a'r Rhiw",1
"826","Box & Colerne",1
"827","Box Vale",1
"828","Boxley Downs",2
"829","Boxmoor",1
"830","Boyd Valley",1
"831","Boyn Hill",1
"832","Bracebridge Heath",1
"833","Brackla East Central",1
"834","Brackla East and Coychurch Lower",1
"835","Brackla West",1
"836","Brackla West Central",1
"837","Brackley",1
"838","Bradeley & Chell Heath",1
"839","Bradfield",1
"840","Bradford Moor",1
"841","Bradford-on-Avon North",1
"842","Bradford-on-Avon South",1
"843","Brading & St Helens",1
"844","Bradley",2
"845","Bradley Stoke North",1
"846","Bradley Stoke South",1
"847","Bradninch",1
"848","Bradshaw",1
"849","Bradstowe",1
"850","Bradwell",2
"851","Bradwell North",1
"852","Bradwell South and Hopton",1
"853","Brailes & Compton",1
"854","Brailsford",1
"855","Braintree Central & Beckers Green",1
"856","Braintree South",1
"857","Braintree West",1
"858","Bramber, Upper Beeding & Woodmancote",1
"859","Brambles & Thorntree",1
"860","Bramcote",1
"861","Bramford",1
"862","Bramhall North",1
"863","Bramhall South & Woodford",3
"864","Bramingham",1
"865","Bramley",1
"866","Bramley & Ravenfield",1
"867","Bramley & Stanningley",1
"868","Bramley & Wonersh",1
"869","Brampton",2
"870","Brampton & Walton",1
"871","Brampton East & Boythorpe",1
"872","Brampton West & Loundsley Green",1
"873","Bramshott & Liphook",1
"874","Brancaster",1
"875","Brandon",1
"876","Brandon Central",1
"877","Brandon East",1
"878","Brandon West",1
"879","Brandwood & King's Heath",1
"880","Bransgore, Burley, Sopley & Ringwood East",1
"881","Branston",1
"882","Bransty",1
"883","Brantham",1
"884","Brasted, Chevening and Sundridge",1
"885","Bratton Fleming",1
"886","Braughing & Standon",1
"887","Braunston & Crick",1
"888","Braunston & Martinsthorpe",1
"889","Braunstone Millfield",1
"890","Braunstone Park & Rowley Fields",1
"891","Braunstone Ravenhurst",1
"892","Braunton East",1
"893","Braunton West & Georgeham",1
"894","Bray",1
"895","Braybrooke",1
"896","Brayton & Barlow",2
"897","Bread Street",1
"898","Bream",1
"899","Breaston",1
"900","Breck",1
"901","Brecon East",1
"902","Brecon West",1
"903","Bredbury & Woodley",1
"904","Bredbury Green & Romiley",1
"905","Brede & Udimore",1
"906","Bredon",1
"907","Bredon Hill",1
"908","Breightmet",1
"909","Brent",2
"910","Brentford East",1
"911","Brentford West",1
"912","Brentwood North",1
"913","Brentwood South",1
"914","Brentwood West",1
"915","Brereton & Ravenhill",1
"916","Brereton Rural",1
"917","Bressingham & Burston",1
"918","Bretforton & Offenham",1
"919","Brett Vale",1
"920","Bretton",1
"921","Brewood, Coven & Blymhill",1
"922","Brick Kiln",1
"923","Brickhill",1
"924","Brickhill & Queensway",1
"925","Bricknell",1
"926","Bridestowe",1
"927","Bridge",4
"928","Bridgemary",1
"929","Bridgend Central",1
"930","Bridges",1
"931","Bridgewater",1
"932","Bridgnorth Castle",1
"933","Bridgnorth East",1
"934","Bridgnorth South & Alveley",1
"935","Bridgnorth West & Tasley",1
"936","Bridgwater East & Bawdrip",3
"937","Bridgwater North & Central",1
"938","Bridgwater South",1
"939","Bridgwater West",1
"940","Bridlington Central and Old Town",1
"941","Bridlington North",1
"942","Bridlington South",1
"943","Bridport",1
"944","Briercliffe",1
"945","Brierfield East & Clover Hill",1
"946","Brierfield West & Reedley",1
"947","Brierley Hill & Wordsley South",1
"948","Brigg & Wolds",1
"949","Brighouse",1
"950","Brighstone, Calbourne & Shalfleet",1
"951","Brightlingsea",1
"952","Brighton Hill",1
"953","Brimington North",1
"954","Brimington South",1
"955","Brimsdown",1
"956","Brinkburn & Faverdale",1
"957","Brinkworth",1
"958","Brinnington & Stockport Central",1
"959","Brinsley",1
"960","Brinsworth",1
"961","Brislington East",1
"962","Brislington West",1
"963","Bristnall",1
"964","Briston",1
"965","Britannia & Lee Mill",1
"966","Brithdir and Llanfachreth/Ganllwyd/Llanelltyd",1
"967","Briton Ferry East",1
"968","Briton Ferry West",1
"969","Britwell",1
"970","Brixton Acre Lane",1
"971","Brixton North",1
"972","Brixton Rush Common",1
"973","Brixton Windrush",1
"974","Brixworth",1
"975","Brize Norton and Shilton",1
"976","Brizes, Stondon Massey & South Weald",4
"977","Brizlincote",1
"978","Bro Aberffraw",1
"979","Bro Dysynni",1
"980","Bro Gwaun",1
"981","Bro'r Llynnoedd",1
"982","Broad Green",1
"983","Broad Oak",1
"984","Broad Oak & the Hallingburys",2
"985","Broad Street",1
"986","Broadbridge Heath",1
"987","Broadclyst",1
"988","Broadfield",1
"989","Broadgreen",1
"990","Broadheath",2
"991","Broadmead",1
"992","Broadstone",1
"993","Broadwater",1
"994","Broadwaters",1
